seed,fold,val_subject,test_subject,n_train,n_val,n_test,train_percent,val_percent,test_percent,val_acc,val_f1_macro,test_acc,test_f1_macro
42,1,B,A,4103,491,492,80.67,9.65,9.67,0.14052953156822812,0.11451251777151986,0.09959349593495935,0.09336403128008149
42,2,C,B,4126,469,491,81.12,9.22,9.65,0.19402985074626866,0.12108905491180706,0.2158859470468432,0.17318476227134116
42,3,J,C,4120,497,469,81.01,9.77,9.22,0.23742454728370221,0.19769132160902433,0.18336886993603413,0.11727828938966885
42,4,M1,J,4113,476,497,80.87,9.36,9.77,0.1953781512605042,0.11222293642473694,0.2454728370221328,0.2214249115569394
42,5,M2,M1,4120,490,476,81.01,9.63,9.36,0.22244897959183674,0.13973655179245698,0.15756302521008403,0.10287539754300615
42,6,M3,M2,4079,517,490,80.2,10.17,9.63,0.2804642166344294,0.2312640046304451,0.1816326530612245,0.14253845451142277
42,7,M4,M3,4020,549,517,79.04,10.79,10.17,0.20218579234972678,0.1417529371312352,0.218568665377176,0.18452970191260565
42,8,M5,M4,3987,550,549,78.39,10.81,10.79,0.15272727272727274,0.09637662726760328,0.24225865209471767,0.172151135597993
42,9,M6,M5,3981,555,550,78.27,10.91,10.81,0.18558558558558558,0.11797351886753653,0.09090909090909091,0.08150174292395918
42,10,A,M6,4039,492,555,79.41,9.67,10.91,0.11788617886178862,0.11670369748627767,0.22702702702702704,0.18694547930059788
