seed,fold,val_subject,test_subject,n_train,n_val,n_test,train_percent,val_percent,test_percent,val_acc,val_f1_macro,test_acc,test_f1_macro
42,1,B,A,4103,491,492,80.67,9.65,9.67,0.17718940936863545,0.11431244980197859,0.17479674796747968,0.12905387910362015
42,2,C,B,4126,469,491,81.12,9.22,9.65,0.18976545842217485,0.12507977747575477,0.3136456211812627,0.25426659141738667
42,3,J,C,4120,497,469,81.01,9.77,9.22,0.19718309859154928,0.1522166329811527,0.16844349680170576,0.0970933818599751
42,4,M1,J,4113,476,497,80.87,9.36,9.77,0.23109243697478993,0.14784415985415894,0.2012072434607646,0.16597715539742264
42,5,M2,M1,4120,490,476,81.01,9.63,9.36,0.45918367346938777,0.40501545905841707,0.20798319327731093,0.12423726943815809
42,6,M3,M2,4079,517,490,80.2,10.17,9.63,0.29980657640232106,0.22663966359848456,0.4326530612244898,0.35885707416809726
42,7,M4,M3,4020,549,517,79.04,10.79,10.17,0.25318761384335153,0.21078392061231951,0.36363636363636365,0.3119161159764355
42,8,M5,M4,3987,550,549,78.39,10.81,10.79,0.33454545454545453,0.2982779652079346,0.26958105646630237,0.23794731252407283
42,9,M6,M5,3981,555,550,78.27,10.91,10.81,0.12792792792792793,0.10189850148796145,0.18727272727272729,0.18227072585502457
42,10,A,M6,4039,492,555,79.41,9.67,10.91,0.19715447154471544,0.22547063341052992,0.18558558558558558,0.1328633008894485
