seed,fold,test_subject,n_train,n_test,train_percent,test_percent,test_acc,test_f1_macro
42,1,A,393,99,7.7271,1.9465,0.9090909090909091,0.909218996106868
42,2,A,393,99,7.7271,1.9465,0.8585858585858586,0.8552784134248664
42,3,A,394,98,7.7468,1.9269,0.8571428571428571,0.8588111991207967
42,4,A,394,98,7.7468,1.9269,0.8673469387755102,0.8667403356877041
42,5,A,394,98,7.7468,1.9269,0.8367346938775511,0.839203793798221
42,1,B,392,99,7.7074,1.9465,0.8484848484848485,0.8493105700778335
42,2,B,393,98,7.7271,1.9269,0.9183673469387755,0.9152936262224187
42,3,B,393,98,7.7271,1.9269,0.9081632653061225,0.9072794285178187
42,4,B,393,98,7.7271,1.9269,0.8673469387755102,0.8670616827273173
42,5,B,393,98,7.7271,1.9269,0.9183673469387755,0.9205139408235384
42,1,C,375,94,7.3732,1.8482,0.7446808510638298,0.7424217122746535
42,2,C,375,94,7.3732,1.8482,0.776595744680851,0.7650403181867713
42,3,C,375,94,7.3732,1.8482,0.776595744680851,0.7766494668042656
42,4,C,375,94,7.3732,1.8482,0.7127659574468085,0.7191823019340181
42,5,C,376,93,7.3928,1.8285,0.7741935483870968,0.7725415588883081
42,1,J,397,100,7.8057,1.9662,0.89,0.886508338582642
42,2,J,397,100,7.8057,1.9662,0.88,0.8804298625351258
42,3,J,398,99,7.8254,1.9465,0.8888888888888888,0.888624416967397
42,4,J,398,99,7.8254,1.9465,0.9494949494949495,0.9493306796402772
42,5,J,398,99,7.8254,1.9465,0.9090909090909091,0.9091281233386497
42,1,M1,380,96,7.4715,1.8875,0.90625,0.9070646312751576
42,2,M1,381,95,7.4912,1.8679,0.8842105263157894,0.8852045443376714
42,3,M1,381,95,7.4912,1.8679,0.8631578947368421,0.8630315539293868
42,4,M1,381,95,7.4912,1.8679,0.8105263157894737,0.8057760806445018
42,5,M1,381,95,7.4912,1.8679,0.8842105263157894,0.882700869821613
42,1,M2,392,98,7.7074,1.9269,0.9489795918367347,0.9488972431077695
42,2,M2,392,98,7.7074,1.9269,0.9693877551020408,0.968922305764411
42,3,M2,392,98,7.7074,1.9269,0.9591836734693877,0.9598412698412698
42,4,M2,392,98,7.7074,1.9269,1.0,1.0
42,5,M2,392,98,7.7074,1.9269,0.9489795918367347,0.9498313966735019
42,1,M3,413,104,8.1203,2.0448,0.9519230769230769,0.952683388312679
42,2,M3,413,104,8.1203,2.0448,0.9423076923076923,0.9416307567337316
42,3,M3,414,103,8.14,2.0252,0.941747572815534,0.9415310014165851
42,4,M3,414,103,8.14,2.0252,0.941747572815534,0.9423125996810209
42,5,M3,414,103,8.14,2.0252,0.970873786407767,0.9708401438378556
42,1,M4,439,110,8.6315,2.1628,0.9181818181818182,0.9183126293995858
42,2,M4,439,110,8.6315,2.1628,0.9272727272727272,0.9282032749858837
42,3,M4,439,110,8.6315,2.1628,0.9636363636363636,0.9636175418784114
42,4,M4,439,110,8.6315,2.1628,0.9636363636363636,0.9639422172030867
42,5,M4,440,109,8.6512,2.1431,0.9357798165137615,0.9353463203463201
42,1,M5,440,110,8.6512,2.1628,0.990909090909091,0.9913043478260869
42,2,M5,440,110,8.6512,2.1628,0.9545454545454546,0.9540127987954075
42,3,M5,440,110,8.6512,2.1628,0.9363636363636364,0.934048999309869
42,4,M5,440,110,8.6512,2.1628,0.9727272727272728,0.9731037078863165
42,5,M5,440,110,8.6512,2.1628,0.9727272727272728,0.973051948051948
42,1,M6,444,111,8.7298,2.1825,0.9279279279279279,0.9287163561076606
42,2,M6,444,111,8.7298,2.1825,0.9009009009009009,0.8997404045230132
42,3,M6,444,111,8.7298,2.1825,0.9819819819819819,0.9817993600602296
42,4,M6,444,111,8.7298,2.1825,0.918918918918919,0.916287259651104
42,5,M6,444,111,8.7298,2.1825,0.9279279279279279,0.9282736683606249
