seed,fold,val_subject,test_subject,n_train,n_val,n_test,train_percent,val_percent,test_percent,val_acc,val_f1_macro,test_acc,test_f1_macro
42,1,B,A,4103,491,492,80.67,9.65,9.67,0.19144602851323828,0.1484358145568766,0.17886178861788618,0.15973508826435753
42,2,C,B,4126,469,491,81.12,9.22,9.65,0.15778251599147122,0.1010378194419014,0.20977596741344195,0.16291572480892985
42,3,J,C,4120,497,469,81.01,9.77,9.22,0.23138832997987926,0.24110909955801282,0.19189765458422176,0.12392442494944364
42,4,M1,J,4113,476,497,80.87,9.36,9.77,0.19747899159663865,0.14006626203714387,0.23541247484909456,0.23457550567392865
42,5,M2,M1,4120,490,476,81.01,9.63,9.36,0.34285714285714286,0.29681232867102864,0.1722689075630252,0.12972439604343933
42,6,M3,M2,4079,517,490,80.2,10.17,9.63,0.34235976789168276,0.2900922364780897,0.3510204081632653,0.30072531062023466
42,7,M4,M3,4020,549,517,79.04,10.79,10.17,0.3114754098360656,0.23080721474429144,0.3346228239845261,0.3006263462683491
42,8,M5,M4,3987,550,549,78.39,10.81,10.79,0.3290909090909091,0.29052860983684414,0.3424408014571949,0.2706812382036976
42,9,M6,M5,3981,555,550,78.27,10.91,10.81,0.11891891891891893,0.09398548941855392,0.24181818181818182,0.23247283764567675
42,10,A,M6,4039,492,555,79.41,9.67,10.91,0.18699186991869918,0.19184312452904287,0.15855855855855855,0.1330971149558316
