seed,fold,test_subject,n_train,n_test,train_percent,test_percent,test_acc,test_f1_macro
42,1,A,393,99,7.7271,1.9465,0.8282828282828283,0.8318779144831776
42,2,A,393,99,7.7271,1.9465,0.8383838383838383,0.8361522120810048
42,3,A,394,98,7.7468,1.9269,0.7959183673469388,0.8001033778742757
42,4,A,394,98,7.7468,1.9269,0.826530612244898,0.820651265845774
42,5,A,394,98,7.7468,1.9269,0.8469387755102041,0.8493412452700377
42,1,B,392,99,7.7074,1.9465,0.9090909090909091,0.9057592510688487
42,2,B,393,98,7.7271,1.9269,0.8571428571428571,0.8534533526329191
42,3,B,393,98,7.7271,1.9269,0.8877551020408163,0.8861677813071
42,4,B,393,98,7.7271,1.9269,0.9081632653061225,0.9056458475491993
42,5,B,393,98,7.7271,1.9269,0.8673469387755102,0.866797698345686
42,1,C,375,94,7.3732,1.8482,0.6702127659574468,0.6600285967229702
42,2,C,375,94,7.3732,1.8482,0.7021276595744681,0.6971187165237508
42,3,C,375,94,7.3732,1.8482,0.6914893617021277,0.6774491375497567
42,4,C,375,94,7.3732,1.8482,0.6276595744680851,0.6345755923754981
42,5,C,376,93,7.3928,1.8285,0.5913978494623656,0.5764510898458266
42,1,J,397,100,7.8057,1.9662,0.87,0.8661989459815548
42,2,J,397,100,7.8057,1.9662,0.88,0.8794888736993999
42,3,J,398,99,7.8254,1.9465,0.7878787878787878,0.7866552745500115
42,4,J,398,99,7.8254,1.9465,0.9090909090909091,0.9096607868582562
42,5,J,398,99,7.8254,1.9465,0.898989898989899,0.8998972067850787
42,1,M1,380,96,7.4715,1.8875,0.8958333333333334,0.8946752911690992
42,2,M1,381,95,7.4912,1.8679,0.8736842105263158,0.8747470279978021
42,3,M1,381,95,7.4912,1.8679,0.8210526315789474,0.8267830114501941
42,4,M1,381,95,7.4912,1.8679,0.8631578947368421,0.8615451832907077
42,5,M1,381,95,7.4912,1.8679,0.8736842105263158,0.8727901063504779
42,1,M2,392,98,7.7074,1.9269,0.9387755102040817,0.9381354902407534
42,2,M2,392,98,7.7074,1.9269,0.9285714285714286,0.9252491076175288
42,3,M2,392,98,7.7074,1.9269,0.9489795918367347,0.9493149540517962
42,4,M2,392,98,7.7074,1.9269,0.9897959183673469,0.9899749373433584
42,5,M2,392,98,7.7074,1.9269,0.9285714285714286,0.9277717913321629
42,1,M3,413,104,8.1203,2.0448,0.9134615384615384,0.9136358353063159
42,2,M3,413,104,8.1203,2.0448,0.8942307692307693,0.8922981696665906
42,3,M3,414,103,8.14,2.0252,0.941747572815534,0.9413956993934111
42,4,M3,414,103,8.14,2.0252,0.941747572815534,0.9416594516594516
42,5,M3,414,103,8.14,2.0252,0.9611650485436893,0.9603890160183066
42,1,M4,439,110,8.6315,2.1628,0.8909090909090909,0.8922753623188406
42,2,M4,439,110,8.6315,2.1628,0.9181818181818182,0.9187455298324864
42,3,M4,439,110,8.6315,2.1628,0.9090909090909091,0.9093544137022398
42,4,M4,439,110,8.6315,2.1628,0.9363636363636364,0.9366318464144552
42,5,M4,440,109,8.6512,2.1431,0.8990825688073395,0.8985017880670053
42,1,M5,440,110,8.6512,2.1628,0.9727272727272728,0.9725569358178054
42,2,M5,440,110,8.6512,2.1628,0.9545454545454546,0.9539233954451346
42,3,M5,440,110,8.6512,2.1628,0.9545454545454546,0.9539910646180669
42,4,M5,440,110,8.6512,2.1628,0.9636363636363636,0.9640127987954074
42,5,M5,440,110,8.6512,2.1628,0.990909090909091,0.9908902691511386
42,1,M6,444,111,8.7298,2.1825,0.9099099099099099,0.9091972520233391
42,2,M6,444,111,8.7298,2.1825,0.9009009009009009,0.9001872764916243
42,3,M6,444,111,8.7298,2.1825,0.9279279279279279,0.9250345065562458
42,4,M6,444,111,8.7298,2.1825,0.9279279279279279,0.9242616026231587
42,5,M6,444,111,8.7298,2.1825,0.9009009009009009,0.899536608319217
