seed,fold,val_subject,test_subject,n_train,n_val,n_test,train_percent,val_percent,test_percent,val_acc,val_f1_macro,test_acc,test_f1_macro
42,1,B,A,4103,491,492,80.67,9.65,9.67,0.18126272912423624,0.14259575207401384,0.2073170731707317,0.1985900451352042
42,2,C,B,4126,469,491,81.12,9.22,9.65,0.17270788912579957,0.08993168688522438,0.23217922606924643,0.1497367630863297
42,3,J,C,4120,497,469,81.01,9.77,9.22,0.2635814889336016,0.2603660549582162,0.1812366737739872,0.10476194802245223
42,4,M1,J,4113,476,497,80.87,9.36,9.77,0.19747899159663865,0.16862251644044923,0.2716297786720322,0.26936766760312186
42,5,M2,M1,4120,490,476,81.01,9.63,9.36,0.3163265306122449,0.25594702608931696,0.13655462184873948,0.1155976246733628
42,6,M3,M2,4079,517,490,80.2,10.17,9.63,0.34235976789168276,0.30800762824843425,0.2653061224489796,0.19962720181218843
42,7,M4,M3,4020,549,517,79.04,10.79,10.17,0.3533697632058288,0.30887485804447606,0.40425531914893614,0.3759673786737161
42,8,M5,M4,3987,550,549,78.39,10.81,10.79,0.3109090909090909,0.27485970369525115,0.39162112932604737,0.3281008001924294
42,9,M6,M5,3981,555,550,78.27,10.91,10.81,0.12792792792792793,0.11562277385062196,0.2636363636363636,0.270706256403408
42,10,A,M6,4039,492,555,79.41,9.67,10.91,0.22357723577235772,0.21609393562385368,0.18198198198198198,0.16402223120111648
