seed,fold,test_subject,n_train,n_test,train_percent,test_percent,test_acc,test_f1_macro
42,1,A,393,99,7.7271,1.9465,0.8383838383838383,0.8373956878361912
42,2,A,393,99,7.7271,1.9465,0.8686868686868687,0.8688812198480391
42,3,A,394,98,7.7468,1.9269,0.7551020408163265,0.7561793564940018
42,4,A,394,98,7.7468,1.9269,0.8775510204081632,0.8769677798308839
42,5,A,394,98,7.7468,1.9269,0.8163265306122449,0.8188702137813728
42,1,B,392,99,7.7074,1.9465,0.8686868686868687,0.8630181431840471
42,2,B,393,98,7.7271,1.9269,0.8469387755102041,0.8438323973927687
42,3,B,393,98,7.7271,1.9269,0.8775510204081632,0.8739800481596147
42,4,B,393,98,7.7271,1.9269,0.8673469387755102,0.8647028444551663
42,5,B,393,98,7.7271,1.9269,0.8979591836734694,0.8964250459909364
42,1,C,375,94,7.3732,1.8482,0.7127659574468085,0.7117093089229313
42,2,C,375,94,7.3732,1.8482,0.6914893617021277,0.6806811626625867
42,3,C,375,94,7.3732,1.8482,0.7127659574468085,0.7144128798617964
42,4,C,375,94,7.3732,1.8482,0.648936170212766,0.6384237608086712
42,5,C,376,93,7.3928,1.8285,0.6344086021505376,0.6263278516027875
42,1,J,397,100,7.8057,1.9662,0.85,0.8507697273486746
42,2,J,397,100,7.8057,1.9662,0.86,0.8605673497469162
42,3,J,398,99,7.8254,1.9465,0.8181818181818182,0.8196848841471267
42,4,J,398,99,7.8254,1.9465,0.8484848484848485,0.8459550391129339
42,5,J,398,99,7.8254,1.9465,0.8484848484848485,0.8481537176274019
42,1,M1,380,96,7.4715,1.8875,0.8333333333333334,0.8313262696382901
42,2,M1,381,95,7.4912,1.8679,0.8315789473684211,0.83031230035874
42,3,M1,381,95,7.4912,1.8679,0.8631578947368421,0.8614913436423732
42,4,M1,381,95,7.4912,1.8679,0.8105263157894737,0.8130876263548897
42,5,M1,381,95,7.4912,1.8679,0.8315789473684211,0.8318493591181705
42,1,M2,392,98,7.7074,1.9269,0.9591836734693877,0.9588387635756057
42,2,M2,392,98,7.7074,1.9269,0.8877551020408163,0.8847774963254841
42,3,M2,392,98,7.7074,1.9269,0.9081632653061225,0.9076479076479076
42,4,M2,392,98,7.7074,1.9269,0.9489795918367347,0.9503577124629755
42,5,M2,392,98,7.7074,1.9269,0.9285714285714286,0.9285866180603023
42,1,M3,413,104,8.1203,2.0448,0.9423076923076923,0.942468787251396
42,2,M3,413,104,8.1203,2.0448,0.875,0.8721843376557334
42,3,M3,414,103,8.14,2.0252,0.912621359223301,0.9114962406015037
42,4,M3,414,103,8.14,2.0252,0.8932038834951457,0.893305232778917
42,5,M3,414,103,8.14,2.0252,0.9514563106796117,0.9502517162471398
42,1,M4,439,110,8.6315,2.1628,0.8636363636363636,0.8611848850212022
42,2,M4,439,110,8.6315,2.1628,0.9,0.8997684923771881
42,3,M4,439,110,8.6315,2.1628,0.9363636363636364,0.9355136457745152
42,4,M4,439,110,8.6315,2.1628,0.9090909090909091,0.9101132201132203
42,5,M4,440,109,8.6512,2.1431,0.9357798165137615,0.9353763460033482
42,1,M5,440,110,8.6512,2.1628,0.9454545454545454,0.9456794654620742
42,2,M5,440,110,8.6512,2.1628,0.9363636363636364,0.9359186008499509
42,3,M5,440,110,8.6512,2.1628,0.9272727272727272,0.9254239287282765
42,4,M5,440,110,8.6512,2.1628,0.9636363636363636,0.9640127987954074
42,5,M5,440,110,8.6512,2.1628,0.9181818181818182,0.9179465462074157
42,1,M6,444,111,8.7298,2.1825,0.954954954954955,0.9550161432770128
42,2,M6,444,111,8.7298,2.1825,0.8918918918918919,0.8921682665160926
42,3,M6,444,111,8.7298,2.1825,0.9279279279279279,0.9275221155655938
42,4,M6,444,111,8.7298,2.1825,0.918918918918919,0.9171037078863165
42,5,M6,444,111,8.7298,2.1825,0.918918918918919,0.9171022214500475
